Sample	Coding	UTR	Intronic	Intergenic	Ribosomal	PF not aligned
16-111-THA	2548557646.0	1383262586.0	845920593.0	612571068.0	1316299497.0	652548001.0
16-112-GFM	1268728469.0	913697484.0	3210736141.0	1980768920.0	158167671.0	363847163.0
16-112-GTS	1930851016.0	1252121773.0	1588532156.0	774190358.0	352101301.0	261033787.0
16-112-SVZ	2657079328.0	1583431816.0	3119906602.0	2079783263.0	208049147.0	446116895.0
16-112-THA	3136583468.0	1780027492.0	1160412857.0	820799684.0	988522395.0	659095523.0
16-116-GFM	2822967189.0	1569297004.0	1514954408.0	2117482844.0	1363080417.0	395319062.0
16-116-GTS	2329089865.0	1573484823.0	1721148382.0	626744581.0	415164500.0	910879112.0
16-117-GFM	2731038285.0	1698223261.0	1086923347.0	574547006.0	429880464.0	327371957.0
16-117-GTS	3038411476.0	1930832615.0	1881608134.0	704756109.0	221882462.0	307780565.0
16-117-SVZ	8853835840.0	4873642977.0	1591184637.0	1051376686.0	404963591.0	597747534.0
16-117-THA	4029672457.0	2254636306.0	1093852252.0	600851612.0	392459727.0	363079866.0
16-118-GFM	3822984652.0	2407049627.0	2069290917.0	1246840208.0	296127959.0	341750924.0
16-118-GTS	2761400936.0	1870483792.0	1273861306.0	539061226.0	471659064.0	310914921.0
16-118-SVZ	3887158695.0	2434785652.0	2789814427.0	1048126398.0	358831813.0	372206892.0
16-118-THA	6403398536.0	3810992237.0	3082176286.0	1453823657.0	1011733614.0	720121568.0
16-129-SVZ	3293261602.0	1740812758.0	916403552.0	285683920.0	41337328.0	236403818.0
16-130-SVZ	3953384735.0	1842867347.0	328522412.0	114912693.0	81872576.0	207591837.0
16-137-GFM	1876418123.0	1202952108.0	1537228047.0	750293677.0	275638515.0	189303489.0
16-137-GTS	3035043932.0	2011452748.0	1682307376.0	565420963.0	177925895.0	328164706.0
16-137-SVZ	3414779798.0	2064362733.0	1240431938.0	499992603.0	71214149.0	248657267.0
16-137-THA	5326753370.0	3528682611.0	3269615762.0	1136906936.0	500022739.0	482874294.0
17-003-GFM	2131849123.0	1571956928.0	1790542813.0	779421115.0	216787076.0	261560587.0
17-003-GTS	2380150952.0	1358970364.0	1209762605.0	643129747.0	693985597.0	525239988.0
17-003-SVZ	4761316422.0	2438568132.0	395362596.0	149459033.0	31764335.0	190987924.0
17-003-THA	3455057040.0	2015726017.0	1149809522.0	794060927.0	261869929.0	263809606.0
